Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
1407,2016-09-29,Promon,Ecommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,180000.0
1409,2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, Ah! Ventures, Digital Currency Group, Boost Vc, Bank To The Future And Funders Club",Private Equity,1500000.0
1411,2016-09-30,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,19000000.0
1413,2016-08-01,Healthkart,Ecommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000.0
1414,2016-08-01,Medinfi,Consumer Internet,Doctor & Clinic\\Xc2\\Xa0 Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,200000.0
1415,2016-08-01,Repaireasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed Hnis,Seed Funding,275000.0
1416,2016-08-01,Voonik,Ecommerce,Online Women\\Xe2\\X80\\X99S Fashion Marketplace,Bangalore,Innoven Capital,Private Equity,3000000.0
1417,2016-08-01,Tokri,Consumer Internet,Hyperlocal Grocery Delivery Platform,Pune,Syska Led Group,Private Equity,2500000.0
1418,2016-08-02,Sheroes,Consumer Internet,Online Job And Career Platform For Women,Noida,"Lumis Partners, The Hr Fund, Rajul Garg, Quintillion Media",Private Equity,1800000.0
1420,2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline Centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,1000000.0
1422,2016-08-03,Extracarbon,Consumer Internet,Waste Recycle Management Platform,Gurgaon,Brand Capital,Seed Funding,225000.0
1423,2016-08-03,Flickbay,Consumer Internet,Mobile Based Bollywood Discovery Platform,Mumbai,Paul Roy,Seed Funding,890000.0
1424,2016-08-04,Petoo,Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,500000.0
1427,2016-08-06,Vst Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,27000.0
1429,2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,40000.0
1430,2016-08-08,Mojarto,Ecommerce,"Original Art, Digital Prints Etailer",Gurgaon,Undisclosed Investors,Seed Funding,445000.0
1431,2016-08-08,Zipgrid,Consumer Internet,Community Services Platform,Mumbai,1Crowd (Through Crowd Funding),Seed Funding,200000.0
1434,2016-08-10,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 Others",Seed Funding,500000.0
1435,2016-08-10,Bombay Shaving Company,Ecommerce,Men\\Xe2\\X80\\X99S Grooming Product Etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,600000.0
1436,2016-08-11,Travelyaari,Consumer Internet,Online Ticket Booking Platform,Bangalore,"Gujarat Venture Finance Limited (Gvfl), Bennett Coleman & Co. Ltd",Private Equity,7000000.0
1438,2016-08-11,Genextstudents,Consumer Internet,Online Tutoring Service Provider,Mumbai,1Crowd (Through Crowdfunding),Seed Funding,209000.0
1439,2016-08-11,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,15000000.0
1440,2016-08-12,Crofarm,Technology,Agri-Tech Supply Chain Solution Provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000.0
1441,2016-08-12,Faircent.Com,Consumer Internet,Peer-To-Peer Lending Platform,Gurgaon,Brand Capital,Private Equity,1500000.0
1442,2016-08-12,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,15600000.0
1443,2016-08-12,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,500000.0
1447,2016-08-16,Oyorooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,Softbank Group,Private Equity,62000000.0
1448,2016-08-16,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, Softbank Group, Bharti Enterprises",Private Equity,175000000.0
1449,2016-08-16,Joolz,Ecommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,500000.0
1450,2016-08-16,Salebhai,Ecommerce,"Sweets, Dry Fruits & Handicrafts Etailer",Ahmedabad,Brand Capital,Private Equity,1500000.0
1451,2016-08-16,Makkajai,Technology,Online & Mobile Learning For Kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,250000.0
1453,2016-08-17,Maalgaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal And Others",Seed Funding,375000.0
1455,2016-08-17,Appknox,Technology,Mobile Security Solutions,Bangalore,"Seedplus, Infocomm Investments, Accel Partners Rnt Associates",Private Equity,675000.0
1459,2016-08-19,Quikr,Consumer Internet,Classified Listings Platform,Mumbai,Brand Capital,Private Equity,20000000.0
1460,2016-08-19,Digio,Technology,Aadhar Based Document Signing Platform,Bangalore,Rainmatter,Private Equity,375000.0
1463,2016-08-22,Puro Wellness,Healthcare,"Organic,\\Xc2\\Xa0 Natural\\Xc2\\Xa0 Food Substitute Manufacturer",Mumbai,Torrent Group,Private Equity,37000000.0
1466,2016-08-23,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,100000.0
1468,2016-08-23,Octo.Ai,Technology,Artificial Intelligence Based Marketing Platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,200000.0
1470,2016-08-24,Unaacademy,Consumer Internet,Free Interactive Education Platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\Xc2\\Xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000.0
1471,2016-08-24,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,100000.0
1472,2016-08-24,Guarented,Ecommerce,Home Furnishing Rental Marketplace,Bangalore,Kalaari Capital,Seed Funding,500000.0
1474,2016-08-24,Uber Dreams,Ecommerce,Dreams Fulfilling Marketplace,Mumbai,Mohit Lalvani,Seed Funding,500000.0
1475,2016-08-24,Convegenius,Education,Edutainment Platform,Noida,Michael And Susan Dell Foundation,Private Equity,900000.0
1476,2016-08-24,Urbanladder,Ecommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,3000000.0
1479,2016-08-25,Cult,Healthcare,Health And Fitness Centres,Bangalore,Curefit,Private Equity,3000000.0
1482,2016-08-25,Zoomcar,Consumer Internet,Self-Driven Car Booking Platform,Bangalore,Ford Smart Mobility Llc,Private Equity,24000000.0
1483,2016-08-26,Plix,Consumer Internet,Photo And Video Sharing App,Gurgaon,Instalabs,Seed Funding,500000.0
1484,2016-08-26,Mobikwik,Consumer Internet,Digital Wallet Platform,Gurgaon,Net1 Ueps Technologies Inc,Private Equity,40000000.0
1485,2016-08-26,Mydidi,Consumer Internet,"On-Demand, Hyper-Local Cleaning Services Provider",Mumbai,Undisclosed Ex Mckinsey Directors And Partners,Seed Funding,550000.0
1487,2016-08-29,Loantap,Consumer Internet,Lending Platform For Salaried Professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000.0
1488,2016-08-29,Runnr,Consumer Internet,Hyperlocal Logistics Services Provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000.0
1490,2016-08-29,Notion Press,Consumer Internet,Self-Publishing Books Platform,Chennai,Undisclosed Hni Investors,Private Equity,1000000.0
1491,2016-08-29,Livspace,Consumer Internet,Online Portal For Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000.0
1492,2016-08-30,Iaugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,149000.0
1493,2016-08-30,Daybox,Consumer Internet,Fruit & Vegetable Delivery Platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,104000.0
1494,2016-08-30,Paytm,Ecommerce,Mobile Wallet & Ecommerce Platform,Bangalore,Mediatek Inc.,Private Equity,60000000.0
1495,2016-08-30,Cropin,Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment Aps,Private Equity,2000000.0
1496,2016-08-30,Canvera,Consumer Internet,Photographer Discovery & Information Platform,Bangalore,Info Edge (India) Ltd,Private Equity,3000000.0
1498,2016-08-31,Flyrobe,Ecommerce,Online Fashion Rental Platform,Mumbai,"Idg Ventures, Sequoia Capital, Gree Ventures",Private Equity,5300000.0
1502,2016-07-01,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,500000.0
1504,2016-07-02,Playment,Consumer Internet,Mobile Marketplace For Crowdsourced Work,Bangalore,Saif Partners,Private Equity,700000.0
1506,2016-07-04,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, Idg Ventures, Kalaari Capital",Private Equity,15000000.0
1507,2016-07-04,Stitchwood,Ecommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200000.0
1508,2016-07-04,Grab.In,Logistics,Hyperlocal Logistics Service,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0
1510,2016-07-04,Neogrowth,Finance,Sme Lending Platform,Mumbai,"Iifl Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0
1511,2016-07-05,Seedoc,Consumer Internet,Video Based Doctor Consulting Platform App,Gurgaon,Yournest Angel Fund\\Xc2\\Xa0 & Others,Private Equity,1000000.0
1512,2016-07-05,Bookmyshow,Consumer Internet,Event & Movie Ticketing Platform,Mumbai,"Stripes Group, Network 18, Accel Partners, Saif Partners",Private Equity,82000000.0
1513,2016-07-05,Flyrobe,Ecommerce,Online Fashion Rental Platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\Xc2\\Xa0 Abhishek Jain",Seed Funding,1700000.0
1514,2016-07-06,Happilyunmarried,Ecommerce,Online Merchandize Etailer,New Delhi,Info Edge (India) Ltd,Private Equity,740000.0
1515,2016-07-06,Don\\Xe2\\X80\\X99T Scratch Your Head,Technology,Full Stack Offline & Online Erp Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.0
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation Platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000.0
1517,2016-07-07,Appdaily,Technology,Mobile Security App Development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, Ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.0
1518,2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,1000000.0
1522,2016-07-08,Holachef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0
1523,2016-07-11,Purplle,Ecommerce,Beauty Products Marketplace,Mumbai,"Jsw Ventures, Blume Ventures & Ivycap Ventures",Private Equity,6000000.0
1524,2016-07-11,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,3500000.0
1525,2016-07-11,Overcart.Com,Ecommerce,Unboxed & Refurbished Electronic Products Marketplace,Gurgaon,"Jsw Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0
1526,2016-07-12,Sirionlabs,Technology,Saas Based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,12250000.0
1531,2016-07-13,Yaap,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,5000000.0
1533,2016-07-13,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000.0
1534,2016-07-13,Sharechat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"Saif Partners, India Quotient",Private Equity,1350000.0
1536,2016-07-13,Rentmojo,Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, Idg Ventures India",Private Equity,5000000.0
1539,2016-07-14,Augrav,Ecommerce,Personalized Precious Jewellery Etailer,Coimbatore,Keiretsu Forum,Seed Funding,450000.0
1540,2016-07-14,Shoppinpal,Technology,M-Commerce Solutions For Retail Stores,Pune,"Plug And Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.0
1542,2016-07-15,Workapps,Technology,Enterprise Work Management Software,Pune,Sri Capital,Seed Funding,1000000.0
1543,2016-07-15,Bankerbay,Consumer Internet,Online Investment Banking Platform,Bangalore,Undisclosed Investors,Private Equity,2000000.0
1545,2016-07-15,Tripshelf,Ecommerce,Travel Package Marketplace,New Delhi,Gems Group,Seed Funding,250000.0
1547,2016-07-15,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000.0
1548,2016-07-18,Yellowdig,Consumer Internet,Online Learning Platform,Pune,Sri Capital,Seed Funding,650000.0
1549,2016-07-18,Zuppler,Consumer Internet,Online Food Ordering Platform,New Delhi,Sri Capital,Seed Funding,650000.0
1550,2016-07-18,Bluestone,Ecommerce,Jewellery Etailer,Mumbai,"Iifl And Accel Partners, Kalaari Capital, Ivycap Ventures, Rb Investments",Private Equity,30000000.0
1553,2016-07-19,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,10000000.0
1554,2016-07-19,Deal4Loans / Wishfin,Consumer Internet,\\Nloans Comparison Platform\\N\\N\\N\\N     (Adsbygoogle = Window.Adsbygoogle || []).Push({});\\N\\N,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000.0
1555,2016-07-19,Niyo Solutions,Technology,Payroll & Benefits Software Solutions,Bangalore,Prime Venture Partners,Private Equity,1000000.0
1556,2016-07-19,Applop,Consumer Internet,Mobile Apps Saas Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,250000.0
1557,2016-07-20,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,1000000.0
1558,2016-07-20,Truckola,Logistics,Tech-Focused Cargo Transport Startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak And Nihit Agarwal, Suramya Gupta",Seed Funding,595000.0
1560,2016-07-21,Mytaxiindia,Consumer Internet,Online Car Rental Booking Platform,New Delhi,Nihon Kotsu Co,Private Equity,1000000.0
1562,2016-07-21,Wiwigo,Consumer Internet,Inter-City Taxi Booking Platform,Bangalore,Indian Angel Network,Seed Funding,595000.0
1568,2016-06-02,Atomberg,Technology,"Smart, Energy Efficient Home Appliance Manufacturer",Mumbai,Parampara Capital,Private Equity,1000000.0
1570,2016-06-02,Limo,Consumer Internet,Bus Aggregator Mobile App,Mumbai,Rainmaker Ventures,Private Equity,1000000.0
1572,2016-06-03,Gogo Truck,Consumer Internet,Truck Aggregator & Booking Platform,Chennai,Undisclosed Investor,Seed Funding,75000.0
1573,2016-06-03,Vyome Biosciences,Healthcare,Treatment Development For Antibiotic-Resistant Diseases,New Delhi,Romulus Capital,Private Equity,2000000.0
1574,2016-06-06,Sillymonks,Consumer Internet,Digital Media And Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.0
1575,2016-06-07,Cuemath,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.0
1576,2016-06-07,Krazybee,Consumer Internet,Student Micro-Loan Platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000.0
1577,2016-06-07,Intgrea,Technology,Post Merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,100000.0
1578,2016-06-07,Helpshift,Technology,Mobile Crm Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.0
1579,2016-06-07,Creditvidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,1000000.0
1580,2016-06-08,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,1000000.0
1581,2016-06-08,Listup,Ecommerce,Location Based Classified Mobile App,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.0
1582,2016-06-08,6Degree,Technology,Tech-Enabled Fashion Talent Platform,Mumbai,Indian Angel Network,Seed Funding,200000.0
1585,2016-06-08,Storeking,Ecommerce,Connecting Small Town Consumers To E-Commerce,Bangalore,Axiata Digital,Private Equity,16000000.0
1587,2016-06-08,Myseniordoctor,Consumer Internet,Online Medical Support Platform,Gurgaon,Blackjag Partners,Seed Funding,200000.0
1590,2016-06-09,Epaylater,Technology,Fin-Tech Platform,Mumbai,3 Undisclosed Hnis,Seed Funding,2000000.0
1592,2016-06-10,Paytunes,Consumer Internet,Mobile Based Rewards Platform,New Delhi,"Cio Angel Network, Indian Angel Network",Private Equity,500000.0
1600,2016-06-13,Bombay Shirt Company,Ecommerce,Online Custom Shirt Retailer,Mumbai,Undisclosed Investor,Private Equity,1000000.0
1601,2016-06-13,Matrubharti,Consumer Internet,E-Book Publisher,Unknown,Viridian Capital,Seed Funding,30000.0
1605,2016-06-14,Jivox,Technology,Data Driven Advertising Platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,6000000.0
1606,2016-06-14,Sminq,Consumer Internet,Queue Management Mobile App,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,1000000.0
1607,2016-06-14,Curejoy,Consumer Internet,Online Alternative Health Community Platform,Bangalore,Accel Partners India,Private Equity,4400000.0
1608,2016-06-15,Oneway.Cab,Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,450000.0
1610,2016-06-16,Diro Labs,Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private Equity,450000.0
1611,2016-06-16,Unnati Helpers,Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity,600000.0
1614,2016-06-16,Voonik,Ecommerce,Online Women\\Xe2\\X80\\X99S Fashion Marketplace,Bangalore,Sequoia Capital,Private Equity,20000000.0
1616,2016-06-17,Cleartax,Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, Saif Partners",Private Equity,12000000.0
1617,2016-06-17,Silvan Innovation Labs,Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,900000.0
1618,2016-06-17,Greythr,Technology,Payroll & Hr Software Developer,Bangalore,"New Enterprise Associates (Nea), Blume Ventures",Private Equity,5200000.0
1624,2016-06-21,Onspoon,Consumer Internet,Online Platform For Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,150000.0
1628,2016-06-21,Celerix,Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,400000.0
1629,2016-06-21,Naturenama,Consumer Internet,Online Outdoors & Travel,Mumbai,Unicorn Venture,Seed Funding,225000.0
1631,2016-06-21,Syona Cosmetics,Fmcg,Beauty Products & Training To Salons & Spas,Chennai,The Chennai Angels,Seed Funding,150000.0
1632,2016-06-21,Prettysecrets,Ecommerce,Women Lingerie Store,Mumbai,"Rb Investments Pte Ltd, Orios Venture Partners",Private Equity,6000000.0
1633,2016-06-22,Spiderg,Consumer Internet,Online Invoice App For Smes,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,150000.0
1634,2016-06-23,Fareye,Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,3500000.0
1635,2016-06-23,The Uolo,Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,210000.0
1638,2016-06-24,Drivify,Consumer Internet,Professional Driver Discovery & Booking Mobile App,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,50000.0
1640,2016-06-24,Parablu,Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,500000.0
1641,2016-06-24,Schedulers Logistics,Logistics,Cold Storage Logistics Solutions,Mumbai,Gvfl,Private Equity,6000000.0
1642,2016-06-24,Leap India,Others,Supply Chain Equipment & Services Provider,Mumbai,Mayfield Ventures,Private Equity,3000000.0
1643,2016-06-24,Kabadiexpress,Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed Investor,Seed Funding,148000.0
1644,2016-06-27,Yourdost,Consumer Internet,Online Counselling & Personal Coaching Platform,Bangalore,"Saif Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,1200000.0
1645,2016-06-27,Gomalon,Consumer Internet,Online Spa & Salon Discovery & Booking Platform,Bangalore,Undisclosed Investor,Seed Funding,100000.0
1647,2016-06-27,Travelyaari,Consumer Internet,Online Ticket Booking Platform,Bangalore,Gvfl Ltd,Private Equity,3000000.0
1648,2016-06-28,Fabhotels,Consumer Internet,Online Hotel Aggregator & Booking Platform,Gurgaon,"Accel Partners, Rb Investments",Private Equity,8000000.0
1649,2016-06-28,Locanix,Technology,Gps Based Saas Solutions,Ahmedabad,Undisclosed Investors,Seed Funding,300000.0
1650,2016-06-28,Lendingkart,Consumer Internet,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,32000000.0
1651,2016-06-28,Hello Tax,Consumer Internet,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,295000.0
1654,2016-06-29,Letreach,Ecommerce,Ecommerce Saas Solutions,New Delhi,Vcommission,Private Equity,100000.0
1655,2016-06-29,Trendieapp,Technology,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,50000.0
1657,2016-06-29,Velvetcase,Ecommerce,Online Designer Jewellery Marketplace,Mumbai,"Uniqorn Ventures Fund, Tv Mohandas Pai, S Somasegar",Private Equity,1500000.0
1658,2016-06-30,Meru Cabs,Consumer Internet,Online/ Mobile Tax Cab Booking,Mumbai,Brand Capital,Private Equity,25000000.0
1659,2016-06-30,Campus Diaries,Consumer Internet,Student Focussed Content Discovery Portal,Bangalore,Aarin Capital,Seed Funding,220000.0
1661,2016-06-30,Biryani Blues,Food & Beverage,Qsr Chain,Gurgaon,Carpediem Capital & Others,Private Equity,368000.0
1663,2016-05-01,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,376000.0
1664,2016-05-01,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,145000.0
1666,2016-05-03,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"Gmo Payment Gateway, Mediatek",Private Equity,50000000.0
1668,2016-05-03,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed Investors,Seed Funding,250000.0
1670,2016-05-03,Zuver,Consumer Internet,Car Driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000.0
1672,2016-05-04,Easyroads,Consumer Internet,Road Trip Planning Mobile App,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000.0
1673,2016-05-04,Lenskart,Ecommerce,Eyewear & Accessories Etailer,New Delhi,"International Finance Corp, Tpg Growth, Adveq Management, Idg Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000.0
1674,2016-05-04,Seclore,Technology,Enterprise Security Technology Platform,Mumbai,"Sistema Asia Fund, Helion Venture, Ventureeast, India Alternatives",Private Equity,12000000.0
1675,2016-05-04,Solartown,Technology,Solar Rooftop System Installation Company,Chennai,Grex.In,Seed Funding,200000.0
1676,2016-05-04,Comarete,Technology,Telecom & Media It Services Company,Pune,Grex.In,Seed Funding,200000.0
1677,2016-05-04,Mydentistchoice,Ecommerce,Medical Supplies Etailer,Hyderabad,Undisclosed Investors,Seed Funding,150000.0
1678,2016-05-04,Active.Ai,Technology,Intelligent Tech Platform For Finance Vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1679,2016-05-04,Affordplan,Technology,Affordable Non-Emergency Medical Service Health Plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1680,2016-05-04,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000.0
1682,2016-05-05,Weballigator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group Of Undisclosed Angel Investors & Hnis,Seed Funding,375000.0
1683,2016-05-06,Eduace Services,Education,Education Workshops & Mentoring Programs,Lucknow,Momagic Technologies,Private Equity,1000000.0
1685,2016-05-07,Zebroads,Logistics,Logistics And Warehousing Services,Hyderabad,Undisclosed Investors,Seed Funding,75000.0
1686,2016-05-09,Locus,Technology,Logistics Intelligence Platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, Beenext, Rajesh Ranavat",Private Equity,2750000.0
1687,2016-05-09,Toko Innovations,Consumer Internet,Children\\Xe2\\X80\\X99S Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000.0
1688,2016-05-09,Rentickle,Ecommerce,"Furniture, Appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000.0
1689,2016-05-10,Healthifyme,Consumer Internet,Health & Fitness App,Bangalore,"Idg Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000.0
1690,2016-05-10,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000.0
1691,2016-05-10,Innonano Research,Technology,Clean Water Technology,Chennai,Nanoholdings,Private Equity,18000000.0
1692,2016-05-10,Schoolwear,Ecommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed Investors,Seed Funding,1500000.0
1693,2016-05-10,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, Dst Global, Accel Partners",Private Equity,7000000.0
1694,2016-05-11,Zenify,Consumer Internet,Home Rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,900000.0
1696,2016-05-11,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0
1697,2016-05-12,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.0
1698,2016-05-12,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, Saif Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.0
1699,2016-05-12,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,Groupe Sos,Private Equity,150000.0
